"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.2,0.25,15,22.4565217391304,90.875845410628,46
0.25,0.2,0.25,16,20.5652173913043,70.5623188405797,46
0.25,0.2,0.25,17,19.9565217391304,63.6425120772947,46
0.25,0.2,0.25,18,18.3913043478261,68.3768115942029,46
0.25,0.2,0.25,19,18.5217391304348,76.7884057971014,46
0.25,0.2,0.25,20,17.7391304347826,71.7971014492754,46
0.25,0.2,0.25,21,18.2173913043478,69.4628019323672,46
0.25,0.2,0.25,22,19.1304347826087,100.96038647343,46
0.25,0.2,0.25,23,18.9782608695652,105.799516908213,46
0.25,0.2,0.25,24,19.804347826087,137.360869565217,46
0.25,0.2,0.25,25,20.1086956521739,147.076811594203,46
0.25,0.2,0.25,26,20.6086956521739,176.865700483092,46
0.25,0.2,0.25,27,20.8913043478261,188.632367149758,46
0.25,0.2,0.25,28,21.4130434782609,212.247826086957,46
0.25,0.2,0.25,29,21.9130434782609,227.103381642512,46
0.25,0.2,0.25,30,22.4347826086957,249.273429951691,46
0.25,0.2,0.25,31,23.2608695652174,274.019323671498,46
0.25,0.2,0.25,32,24.8260869565217,334.680193236715,46
0.25,0.2,0.25,33,25.8695652173913,404.782608695652,46
0.25,0.2,0.25,34,26.804347826087,432.827536231884,46
0.25,0.2,0.25,35,27.804347826087,492.38309178744,46
0.25,0.2,0.25,36,29.4347826086957,570.695652173913,46
0.25,0.2,0.25,37,30.7608695652174,676.674879227053,46
0.25,0.2,0.25,38,32.6086956521739,835.399033816425,46
0.25,0.2,0.25,39,34.6304347826087,966.904830917874,46
0.25,0.2,0.25,40,35.6521739130435,1038.45410628019,46
0.25,0.2,0.25,41,37.7608695652174,1251.74154589372,46
0.25,0.2,0.25,42,40.7391304347826,1428.24154589372,46
0.25,0.2,0.25,43,43,1674.08888888889,46
0.25,0.2,0.25,44,46.695652173913,2030.52753623188,46
0.25,0.2,0.25,45,52.0217391304348,2667.71062801932,46
0.25,0.2,0.25,46,55.7608695652174,3200.18599033816,46
0.25,0.2,0.25,47,60.6521739130435,3700.85410628019,46
0.25,0.2,0.25,48,67.2173913043478,4478.44057971015,46
0.25,0.2,0.25,49,72.9782608695652,5351.93285024155,46
0.25,0.2,0.25,50,79.0217391304348,6514.51062801932,46
0.25,0.2,0.25,51,83.7391304347826,7443.04154589372,46
0.25,0.2,0.25,52,91.1304347826087,8774.73816425121,46
0.25,0.2,0.25,53,97.3695652173913,10235.5270531401,46
0.25,0.2,0.25,54,103.173913043478,11677.2579710145,46
0.25,0.2,0.25,55,111.195652173913,14100.1164251208,46
0.25,0.2,0.25,56,121.152173913043,17229.8207729469,46
0.25,0.2,0.25,57,130.760869565217,19994.4526570048,46
0.25,0.2,0.25,58,140.065217391304,23589.4400966184,46
0.25,0.2,0.25,59,149.652173913043,26398.0096618357,46
0.25,0.2,0.25,60,162.478260869565,31467.6328502415,46
0.25,0.2,0.25,61,173.413043478261,36676.4700483092,46
0.25,0.2,0.25,62,187.608695652174,43018.7768115942,46
0.25,0.2,0.25,63,201.521739130435,49702.3884057971,46
0.25,0.2,0.25,64,217.652173913043,59245.6985507246,46
0.25,0.2,0.25,65,234.869565217391,69280.0714975845,46
0.25,0.2,0.25,66,254.478260869565,80189.277294686,46
0.25,0.2,0.25,67,273.326086956522,92689.5579710145,46
0.25,0.2,0.25,68,297.565217391304,108868.473429952,46
0.25,0.2,0.25,69,319.086956521739,123025.503381643,46
0.25,0.2,0.25,70,345.478260869565,142787.943961353,46
0.25,0.2,0.25,71,375.130434782609,166182.515942029,46
0.25,0.2,0.25,72,405.369565217391,194628.149275362,46
0.25,0.2,0.25,73,441.260869565217,228257.085990338,46
0.25,0.2,0.25,74,477.913043478261,269822.747826087,46
0.25,0.2,0.25,75,519.804347826087,322817.538647343,46
0.25,0.2,0.25,76,564.478260869565,382139.32173913,46
0.25,0.2,0.25,77,612.565217391304,445979.940096618,46
0.25,0.2,0.25,78,661.891304347826,512927.521256039,46
0.25,0.2,0.25,79,719.434782608696,601919.184541063,46
0.25,0.2,0.25,80,782.173913043478,705792.280193237,46
0.25,0.2,0.25,81,849.717391304348,825250.118357488,46
0.25,0.2,0.25,82,921.826086956522,965082.369082126,46
0.25,0.2,0.25,83,1004.36956521739,1146394.41594203,46
0.25,0.2,0.25,84,1087.0652173913,1329439.48454106,46
0.25,0.2,0.25,85,1175.17391304348,1535206.90241546,46
0.25,0.2,0.25,86,1273.82608695652,1792774.10241546,46
0.25,0.2,0.25,87,1378.02173913043,2073313.71062802,46
0.25,0.2,0.25,88,1483.30434782609,2356935.5942029,46
0.25,0.2,0.25,89,1600.30434782609,2687502.61642512,46
0.25,0.2,0.25,90,1723.65217391304,3060178.76521739,46
0.25,0.2,0.25,91,1855.78260869565,3483481.3294686,46
0.25,0.2,0.25,92,1996.86956521739,3956832.47149758,46
0.25,0.2,0.25,93,2146.63043478261,4521128.19371981,46
0.25,0.2,0.25,94,2306.58695652174,5153682.82560387,46
0.25,0.2,0.25,95,2466.21739130435,5821821.19613527,46
0.25,0.2,0.25,96,2638.45652173913,6593615.00917874,46
0.25,0.2,0.25,97,2806.21739130435,7330461.68502415,46
0.25,0.2,0.25,98,2993.04347826087,8184570.22028986,46
0.25,0.2,0.25,99,3189.36956521739,9062021.61594203,46
0.25,0.2,0.25,100,3396.21739130435,9990809.3294686,46
0.25,0.2,0.75,0,20000,0,399
0.25,0.2,0.75,1,3771.03007518797,24195.8332640647,399
0.25,0.2,0.75,2,1486.79197994987,13371.5772219493,399
0.25,0.2,0.75,3,726.573934837093,8059.42102744298,399
0.25,0.2,0.75,4,413.22305764411,5794.13856248662,399
0.25,0.2,0.75,5,266.320802005013,4113.2234606617,399
0.25,0.2,0.75,6,185.736842105263,3330.60645331923,399
0.25,0.2,0.75,7,144.829573934837,2909.22716338585,399
0.25,0.2,0.75,8,121.127819548872,3013.49869648997,399
0.25,0.2,0.75,9,111.659147869674,3180.92875404592,399
0.25,0.2,0.75,10,107.922305764411,4183.78038059974,399
0.25,0.2,0.75,11,109.52380952381,5762.3354869586,399
0.25,0.2,0.75,12,118.90977443609,8955.91143688367,399
0.25,0.2,0.75,13,131.431077694236,14051.1604387854,399
0.25,0.2,0.75,14,152.80701754386,25748.4676893238,399
0.25,0.2,0.75,15,187.546365914787,56613.1781211824,399
0.25,0.2,0.75,16,236.771929824561,111848.287049281,399
0.25,0.2,0.75,17,306.977443609023,224524.112555257,399
0.25,0.2,0.75,18,409.649122807018,463295.122807018,399
0.25,0.2,0.75,19,552.208020050125,903834.129985768,399
0.25,0.2,0.75,20,749.22305764411,1633769.49534641,399
0.25,0.2,0.75,21,1020.74436090226,2920795.67820305,399
0.25,0.2,0.75,22,1380.66666666667,4903648.36850921,399
0.25,0.2,0.75,23,1835.15538847118,7798658.20192441,399
0.25,0.2,0.75,24,2385.43107769424,11501620.7785292,399
0.25,0.2,0.75,25,3034.87969924812,16111481.5181547,399
0.25,0.2,0.75,26,3757.51378446115,21191752.3408899,399
0.25,0.2,0.75,27,4542.94736842105,26518602.6479767,399
0.25,0.2,0.75,28,5366.08521303258,31857036.3495044,399
0.25,0.2,0.75,29,6214.71679197995,36563417.3190892,399
0.25,0.2,0.75,30,7039.34085213033,40062520.4915681,399
0.25,0.2,0.75,31,7847.41854636592,42498648.8319165,399
0.25,0.2,0.75,32,8633.63909774436,43680771.577965,399
0.25,0.2,0.75,33,9400.55137844611,44049094.7705948,399
0.25,0.2,0.75,34,10160.3533834586,43720766.9376204,399
0.25,0.2,0.75,35,10894.7769423559,42635870.1084117,399
0.25,0.2,0.75,36,11571.8621553885,40545551.1492928,399
