"p0","var.z","h2","t","nbar","nvar","psrv","nn"
0.25,0.2,0.25,54,4590.30841121495,76473092.5360607,1,107
0.25,0.2,0.25,55,5215,95320331.66,1,101
0.25,0.2,0.25,56,6279.75824175824,124573613.074237,1,91
0.25,0.2,0.25,57,7074.64367816092,149433003.790163,1,87
0.25,0.2,0.25,58,7738.97647058824,177936280.166106,1,85
0.25,0.2,0.25,59,8554.20731707317,205294416.98118,1,82
0.25,0.2,0.25,60,9500.3125,248275125.8125,1,80
0.25,0.2,0.25,61,10259.8101265823,290163418.899383,1,79
0.25,0.2,0.25,62,11090.8227848101,340346968.557936,1,79
0.25,0.2,0.25,63,13051.4444444444,417019817.377152,1,72
0.25,0.2,0.25,64,15133.4179104478,516392115.337856,1,67
0.25,0.2,0.25,65,16322.8059701493,603594701.764812,1,67
0.25,0.2,0.25,66,18221.9538461538,712752442.763462,1,65
0.25,0.2,0.25,67,20509.5161290323,844675533.827604,1,62
0.25,0.2,0.25,68,22690.2295081967,1001991485.81311,1,61
0.25,0.2,0.25,69,24329.4098360656,1135737889.37924,1,61
0.25,0.2,0.25,70,26776.7833333333,1331075614.81667,1,60
0.25,0.2,0.25,71,29072.85,1552630868.70593,1,60
0.25,0.2,0.25,72,33060.6666666667,1859827861.04762,1,57
0.25,0.2,0.25,73,38694.4339622641,2246019950.90421,1,53
0.25,0.2,0.25,74,42711.3461538462,2670109211.28959,1,52
0.25,0.2,0.25,75,47363.0588235294,3211405132.77647,1,51
0.25,0.2,0.25,76,52459.4,3823230291.79592,1,50
0.25,0.2,0.25,77,58087.3673469388,4488957969.65391,1,49
0.25,0.2,0.25,78,62764.2857142857,5166773771.79167,1,49
0.25,0.2,0.25,79,68220.3469387755,6065345884.48129,1,49
0.25,0.2,0.25,80,75712.125,7147268847.13298,1,48
0.25,0.2,0.25,81,83997.6170212766,8391708628.11101,1,47
0.25,0.2,0.25,82,91125.6382978723,9814822611.45328,1,47
0.25,0.2,0.25,83,99285.1489361702,11658651710.0426,1,47
0.25,0.2,0.25,84,107459.70212766,13522804390.2137,1,47
0.25,0.2,0.25,85,116169.340425532,15619429971.3599,1,47
0.25,0.2,0.25,86,128656.434782609,18288088618.7401,1,46
0.25,0.2,0.25,87,139180.195652174,21149873162.1164,1,46
0.25,0.2,0.25,88,149813.739130435,24043099996.4638,1,46
0.25,0.2,0.25,89,161630.739130435,27415214190.1527,1,46
0.25,0.2,0.25,90,174088.869565217,31216883583.9826,1,46
0.25,0.2,0.25,91,187434.043478261,35534993041.9092,1,46
0.25,0.2,0.25,92,201683.826086957,40363648041.7469,1,46
0.25,0.2,0.25,93,216809.673913043,46120028704.1357,1,46
0.25,0.2,0.25,94,232965.282608696,52572718503.985,1,46
0.25,0.2,0.25,95,249087.956521739,59388398021.7758,1,46
0.25,0.2,0.25,96,266484.108695652,67261466708.6324,1,46
0.25,0.2,0.25,97,283427.956521739,74778039648.9314,1,46
0.25,0.2,0.25,98,302297.391304348,83490800817.1768,1,46
0.25,0.2,0.25,99,322126.326086957,92441682504.2246,1,46
0.25,0.2,0.25,100,343017.956521739,101916245969.909,1,46
0.25,0.2,0.5,0,2020000,0,1,1000
0.25,0.2,0.5,1,381727.48,53721647.8134134,1,1000
0.25,0.2,0.5,2,124879.531,23885934.959999,1,1000
0.25,0.2,0.5,3,57249.729,11794824.6522112,1,1000
0.25,0.2,0.5,4,32821.061,7875840.6198989,1,1000
0.25,0.2,0.5,5,21754.289,5728833.39287187,1,1000
0.25,0.2,0.5,6,15872.958,5138761.77601201,1,1000
0.25,0.2,0.5,7,12444.816,4790174.59273674,1,1000
0.25,0.2,0.5,8,10282.204,4198335.24162563,1,1000
0.25,0.2,0.5,9,8856.589,4099661.19327227,1,1000
0.25,0.2,0.5,10,7886.282,4081005.27975576,1,1000
0.25,0.2,0.5,11,7254.022,4434037.89340941,1,1000
0.25,0.2,0.5,12,6737.407,4771159.3466977,1,1000
0.25,0.2,0.5,13,6410.773,4948835.64711812,1,1000
0.25,0.2,0.5,14,6207.359,5428405.67179079,1,1000
0.25,0.2,0.5,15,6081.21,6269927.73163163,1,1000
0.25,0.2,0.5,16,5999.198,7112574.198995,1,1000
0.25,0.2,0.5,17,6019.499,7965339.02702603,1,1000
0.25,0.2,0.5,18,6108.783,9147179.62954054,1,1000
0.25,0.2,0.5,19,6246.143,10744117.486037,1,1000
0.25,0.2,0.5,20,6443.699,12432482.5249239,1,1000
0.25,0.2,0.5,21,6666.1011011011,14658663.2252393,1,999
0.25,0.2,0.5,22,6984.97397397397,17151407.510344,1,999
0.25,0.2,0.5,23,7325.43486973948,20171138.7575391,1,998
0.25,0.2,0.5,24,7732.7745490982,23776900.5619594,1,998
0.25,0.2,0.5,25,8200.83567134269,28797571.4313441,1,998
0.25,0.2,0.5,26,8694.60220440882,34489077.1966651,1,998
0.25,0.2,0.5,27,9271.65831663327,41490142.7728044,1,998
0.25,0.2,0.5,28,9925.3246492986,49671594.7931932,1,998
0.25,0.2,0.5,29,10640.7244488978,59589004.8176765,1,998
