"t","n","trial","p0","h2","var.z"
19,8,1011,0.75,0.25,0.1
20,2,1011,0.75,0.25,0.1
0,20000,1012,0.75,0.25,0.1
1,3292,1012,0.75,0.25,0.1
2,1135,1012,0.75,0.25,0.1
3,516,1012,0.75,0.25,0.1
4,208,1012,0.75,0.25,0.1
5,91,1012,0.75,0.25,0.1
6,30,1012,0.75,0.25,0.1
7,28,1012,0.75,0.25,0.1
8,22,1012,0.75,0.25,0.1
9,1,1012,0.75,0.25,0.1
10,1,1012,0.75,0.25,0.1
0,20000,1013,0.75,0.25,0.1
1,3197,1013,0.75,0.25,0.1
2,1004,1013,0.75,0.25,0.1
3,447,1013,0.75,0.25,0.1
4,205,1013,0.75,0.25,0.1
5,72,1013,0.75,0.25,0.1
6,16,1013,0.75,0.25,0.1
7,28,1013,0.75,0.25,0.1
8,2,1013,0.75,0.25,0.1
0,20000,1014,0.75,0.25,0.1
1,3256,1014,0.75,0.25,0.1
2,1154,1014,0.75,0.25,0.1
3,354,1014,0.75,0.25,0.1
4,90,1014,0.75,0.25,0.1
5,25,1014,0.75,0.25,0.1
6,15,1014,0.75,0.25,0.1
7,6,1014,0.75,0.25,0.1
0,20000,1015,0.75,0.25,0.1
1,3200,1015,0.75,0.25,0.1
2,942,1015,0.75,0.25,0.1
3,348,1015,0.75,0.25,0.1
4,153,1015,0.75,0.25,0.1
5,98,1015,0.75,0.25,0.1
6,71,1015,0.75,0.25,0.1
7,39,1015,0.75,0.25,0.1
8,20,1015,0.75,0.25,0.1
9,2,1015,0.75,0.25,0.1
0,20000,1016,0.75,0.25,0.1
1,3135,1016,0.75,0.25,0.1
2,1095,1016,0.75,0.25,0.1
3,463,1016,0.75,0.25,0.1
4,114,1016,0.75,0.25,0.1
5,32,1016,0.75,0.25,0.1
6,2,1016,0.75,0.25,0.1
0,20000,1017,0.75,0.25,0.1
1,3301,1017,0.75,0.25,0.1
2,1131,1017,0.75,0.25,0.1
3,486,1017,0.75,0.25,0.1
4,242,1017,0.75,0.25,0.1
5,104,1017,0.75,0.25,0.1
6,50,1017,0.75,0.25,0.1
7,46,1017,0.75,0.25,0.1
8,35,1017,0.75,0.25,0.1
9,25,1017,0.75,0.25,0.1
10,1,1017,0.75,0.25,0.1
0,20000,1018,0.75,0.25,0.1
1,3203,1018,0.75,0.25,0.1
2,1068,1018,0.75,0.25,0.1
3,378,1018,0.75,0.25,0.1
4,156,1018,0.75,0.25,0.1
5,123,1018,0.75,0.25,0.1
6,69,1018,0.75,0.25,0.1
7,31,1018,0.75,0.25,0.1
8,1,1018,0.75,0.25,0.1
0,20000,1019,0.75,0.25,0.1
1,3142,1019,0.75,0.25,0.1
2,977,1019,0.75,0.25,0.1
3,307,1019,0.75,0.25,0.1
4,164,1019,0.75,0.25,0.1
5,86,1019,0.75,0.25,0.1
6,55,1019,0.75,0.25,0.1
7,28,1019,0.75,0.25,0.1
8,3,1019,0.75,0.25,0.1
0,20000,2000,0.75,0.25,0.1
1,3354,2000,0.75,0.25,0.1
2,1041,2000,0.75,0.25,0.1
3,378,2000,0.75,0.25,0.1
4,154,2000,0.75,0.25,0.1
5,96,2000,0.75,0.25,0.1
6,26,2000,0.75,0.25,0.1
7,18,2000,0.75,0.25,0.1
8,9,2000,0.75,0.25,0.1
9,8,2000,0.75,0.25,0.1
0,20000,2001,0.25,0.25,0.1
1,3230,2001,0.25,0.25,0.1
2,841,2001,0.25,0.25,0.1
3,245,2001,0.25,0.25,0.1
4,88,2001,0.25,0.25,0.1
5,31,2001,0.25,0.25,0.1
6,7,2001,0.25,0.25,0.1
7,5,2001,0.25,0.25,0.1
8,4,2001,0.25,0.25,0.1
9,1,2001,0.25,0.25,0.1
10,1,2001,0.25,0.25,0.1
0,20000,2002,0.25,0.25,0.1
1,3280,2002,0.25,0.25,0.1
2,795,2002,0.25,0.25,0.1
3,241,2002,0.25,0.25,0.1
4,99,2002,0.25,0.25,0.1
5,40,2002,0.25,0.25,0.1
6,18,2002,0.25,0.25,0.1
7,10,2002,0.25,0.25,0.1
8,3,2002,0.25,0.25,0.1
0,20000,2003,0.25,0.25,0.1
1,3250,2003,0.25,0.25,0.1
2,732,2003,0.25,0.25,0.1
3,196,2003,0.25,0.25,0.1
4,67,2003,0.25,0.25,0.1
5,19,2003,0.25,0.25,0.1
6,5,2003,0.25,0.25,0.1
0,20000,2004,0.25,0.25,0.1
1,3199,2004,0.25,0.25,0.1
2,746,2004,0.25,0.25,0.1
3,257,2004,0.25,0.25,0.1
4,106,2004,0.25,0.25,0.1
5,40,2004,0.25,0.25,0.1
6,17,2004,0.25,0.25,0.1
7,10,2004,0.25,0.25,0.1
8,3,2004,0.25,0.25,0.1
0,20000,2005,0.25,0.25,0.1
1,3182,2005,0.25,0.25,0.1
2,718,2005,0.25,0.25,0.1
3,220,2005,0.25,0.25,0.1
4,86,2005,0.25,0.25,0.1
5,28,2005,0.25,0.25,0.1
6,8,2005,0.25,0.25,0.1
7,1,2005,0.25,0.25,0.1
0,20000,2006,0.25,0.25,0.1
1,3274,2006,0.25,0.25,0.1
2,794,2006,0.25,0.25,0.1
3,237,2006,0.25,0.25,0.1
4,64,2006,0.25,0.25,0.1
5,37,2006,0.25,0.25,0.1
6,18,2006,0.25,0.25,0.1
7,8,2006,0.25,0.25,0.1
8,1,2006,0.25,0.25,0.1
0,20000,2007,0.25,0.25,0.1
1,3272,2007,0.25,0.25,0.1
2,769,2007,0.25,0.25,0.1
3,200,2007,0.25,0.25,0.1
4,56,2007,0.25,0.25,0.1
5,22,2007,0.25,0.25,0.1
6,7,2007,0.25,0.25,0.1
7,4,2007,0.25,0.25,0.1
8,2,2007,0.25,0.25,0.1
9,3,2007,0.25,0.25,0.1
10,3,2007,0.25,0.25,0.1
11,1,2007,0.25,0.25,0.1
12,1,2007,0.25,0.25,0.1
13,1,2007,0.25,0.25,0.1
14,1,2007,0.25,0.25,0.1
15,1,2007,0.25,0.25,0.1
16,1,2007,0.25,0.25,0.1
17,1,2007,0.25,0.25,0.1
0,20000,2008,0.25,0.25,0.1
1,3248,2008,0.25,0.25,0.1
2,831,2008,0.25,0.25,0.1
3,231,2008,0.25,0.25,0.1
4,75,2008,0.25,0.25,0.1
5,36,2008,0.25,0.25,0.1
6,8,2008,0.25,0.25,0.1
7,4,2008,0.25,0.25,0.1
8,1,2008,0.25,0.25,0.1
9,1,2008,0.25,0.25,0.1
0,20000,2009,0.25,0.25,0.1
1,3203,2009,0.25,0.25,0.1
2,773,2009,0.25,0.25,0.1
3,229,2009,0.25,0.25,0.1
4,79,2009,0.25,0.25,0.1
5,25,2009,0.25,0.25,0.1
6,8,2009,0.25,0.25,0.1
7,3,2009,0.25,0.25,0.1
8,1,2009,0.25,0.25,0.1
9,1,2009,0.25,0.25,0.1
0,20000,2010,0.25,0.25,0.1
1,3244,2010,0.25,0.25,0.1
2,753,2010,0.25,0.25,0.1
3,231,2010,0.25,0.25,0.1
4,95,2010,0.25,0.25,0.1
5,33,2010,0.25,0.25,0.1
6,14,2010,0.25,0.25,0.1
7,7,2010,0.25,0.25,0.1
8,1,2010,0.25,0.25,0.1
0,20000,2011,0.25,0.25,0.1
1,3266,2011,0.25,0.25,0.1
2,760,2011,0.25,0.25,0.1
3,201,2011,0.25,0.25,0.1
4,60,2011,0.25,0.25,0.1
5,22,2011,0.25,0.25,0.1
6,6,2011,0.25,0.25,0.1
7,3,2011,0.25,0.25,0.1
8,2,2011,0.25,0.25,0.1
9,2,2011,0.25,0.25,0.1
10,2,2011,0.25,0.25,0.1
11,2,2011,0.25,0.25,0.1
12,2,2011,0.25,0.25,0.1
13,2,2011,0.25,0.25,0.1
14,1,2011,0.25,0.25,0.1
15,1,2011,0.25,0.25,0.1
16,1,2011,0.25,0.25,0.1
17,1,2011,0.25,0.25,0.1
18,1,2011,0.25,0.25,0.1
0,20000,2012,0.25,0.25,0.1
1,3173,2012,0.25,0.25,0.1
2,744,2012,0.25,0.25,0.1
3,194,2012,0.25,0.25,0.1
4,73,2012,0.25,0.25,0.1
5,29,2012,0.25,0.25,0.1
6,14,2012,0.25,0.25,0.1
7,12,2012,0.25,0.25,0.1
8,2,2012,0.25,0.25,0.1
0,20000,2013,0.25,0.25,0.1
1,3272,2013,0.25,0.25,0.1
2,747,2013,0.25,0.25,0.1
3,209,2013,0.25,0.25,0.1
4,86,2013,0.25,0.25,0.1
5,41,2013,0.25,0.25,0.1
6,24,2013,0.25,0.25,0.1
7,9,2013,0.25,0.25,0.1
8,2,2013,0.25,0.25,0.1
9,2,2013,0.25,0.25,0.1
0,20000,2014,0.25,0.25,0.1
1,3252,2014,0.25,0.25,0.1
2,782,2014,0.25,0.25,0.1
3,217,2014,0.25,0.25,0.1
4,89,2014,0.25,0.25,0.1
5,35,2014,0.25,0.25,0.1
6,15,2014,0.25,0.25,0.1
7,5,2014,0.25,0.25,0.1
8,3,2014,0.25,0.25,0.1
0,20000,2015,0.25,0.25,0.1
1,3319,2015,0.25,0.25,0.1
2,758,2015,0.25,0.25,0.1
3,221,2015,0.25,0.25,0.1
4,71,2015,0.25,0.25,0.1
5,20,2015,0.25,0.25,0.1
6,8,2015,0.25,0.25,0.1
7,7,2015,0.25,0.25,0.1
8,5,2015,0.25,0.25,0.1
9,3,2015,0.25,0.25,0.1
10,2,2015,0.25,0.25,0.1
0,20000,2016,0.25,0.25,0.1
1,3195,2016,0.25,0.25,0.1
2,758,2016,0.25,0.25,0.1
3,193,2016,0.25,0.25,0.1
4,70,2016,0.25,0.25,0.1
5,24,2016,0.25,0.25,0.1
6,10,2016,0.25,0.25,0.1
7,7,2016,0.25,0.25,0.1
8,2,2016,0.25,0.25,0.1
9,1,2016,0.25,0.25,0.1
0,20000,2017,0.25,0.25,0.1
1,3212,2017,0.25,0.25,0.1
2,773,2017,0.25,0.25,0.1
3,241,2017,0.25,0.25,0.1
4,77,2017,0.25,0.25,0.1
5,34,2017,0.25,0.25,0.1
6,20,2017,0.25,0.25,0.1
7,7,2017,0.25,0.25,0.1
8,5,2017,0.25,0.25,0.1
9,1,2017,0.25,0.25,0.1
10,1,2017,0.25,0.25,0.1
0,20000,2018,0.25,0.25,0.1
1,3274,2018,0.25,0.25,0.1
2,758,2018,0.25,0.25,0.1
3,209,2018,0.25,0.25,0.1
4,67,2018,0.25,0.25,0.1
5,32,2018,0.25,0.25,0.1
6,11,2018,0.25,0.25,0.1
7,5,2018,0.25,0.25,0.1
0,20000,2019,0.25,0.25,0.1
1,3303,2019,0.25,0.25,0.1
2,744,2019,0.25,0.25,0.1
3,221,2019,0.25,0.25,0.1
4,85,2019,0.25,0.25,0.1
5,28,2019,0.25,0.25,0.1
6,13,2019,0.25,0.25,0.1
7,16,2019,0.25,0.25,0.1
8,4,2019,0.25,0.25,0.1
9,3,2019,0.25,0.25,0.1
10,1,2019,0.25,0.25,0.1
0,20000,3000,0.25,0.25,0.1
1,3198,3000,0.25,0.25,0.1
2,747,3000,0.25,0.25,0.1
3,230,3000,0.25,0.25,0.1
4,74,3000,0.25,0.25,0.1
5,23,3000,0.25,0.25,0.1
6,19,3000,0.25,0.25,0.1
