"t","p0","var.z","h2","llbar","llvar","n","nn"
11,0.75,0.4,1,0.0282522967727736,0.000464802740762622,18870.9,1000
11,0.964285714285714,0.1,0.25,-0.612186451164423,1.94752798281767,323.824324324324,74
11,0.964285714285714,0.1,0.5,-0.0559181417982854,1.04645424315676,1337.62068965517,464
11,0.964285714285714,0.1,1,0.272794357627102,0.050766865152308,8108.18930041152,972
11,0.964285714285714,0.2,0.25,-0.0265237487771269,0.825649490738388,1122.8040201005,597
11,0.964285714285714,0.2,0.5,0.264459226384893,0.0541444513239078,7577.44320486815,986
11,0.964285714285714,0.2,1,0.0200979233658124,0.00491829416127587,18762.37,1000
11,0.964285714285714,0.4,0.25,0.244207027973445,0.0442630868303177,6431.7967967968,999
11,0.964285714285714,0.4,0.5,0.0417835121780967,0.00515219735442711,17698.892,1000
11,0.964285714285714,0.4,1,0.00166903338806915,0.0050388609449123,19946.695,1000
12,0.25,0.1,0.25,-0.150887543519598,0.124540342254768,1.39669421487603,121
12,0.25,0.1,0.5,-0.18128350369394,0.131078647438193,2.29004329004329,231
12,0.25,0.1,1,-0.128218500354186,0.122973314232275,11.7273755656109,884
12,0.25,0.2,0.25,-0.192170804539749,0.046363939245421,23.68,1000
12,0.25,0.2,0.5,-0.0583714588774862,0.0129141757557478,66.707,1000
12,0.25,0.2,1,0.0721991813364909,0.00160055917764053,370.077,1000
12,0.25,0.4,0.25,-0.0626107677875753,0.00143993629969173,465.512,1000
12,0.25,0.4,0.5,-0.0131235680940771,0.000843483820195501,802.014,1000
12,0.25,0.4,1,0.00779397406891478,0.00046778869282993,1356.492,1000
12,0.75,0.1,0.25,-0.148389925310423,0.471489416466663,16.6923076923077,26
12,0.75,0.1,0.5,-0.193421490855699,0.485873067774345,64.0226804123711,485
12,0.75,0.1,1,0.379447029339285,0.0112364658996115,1436.567,1000
12,0.75,0.2,0.25,-0.239735958222293,0.437087223964874,77.5294117647059,782
12,0.75,0.2,0.5,0.329497961730814,0.00589823957443106,1591.586,1000
12,0.75,0.2,1,0.12586945959869,0.00148697359399481,15135.201,1000
12,0.75,0.4,0.25,0.228701477265467,0.00498062170751814,1619.421,1000
12,0.75,0.4,0.5,0.164234779307707,0.00115188970091327,12251.383,1000
12,0.75,0.4,1,0.015299296382092,0.000384288320894833,19410.575,1000
12,0.964285714285714,0.1,0.25,-0.558460780647839,2.22261449003596,392.714285714286,63
12,0.964285714285714,0.1,0.5,0.11492187492522,0.423786944854571,1906.04128440367,436
12,0.964285714285714,0.1,1,0.207377486839693,0.0827692271176294,10220.6721649485,970
12,0.964285714285714,0.2,0.25,-0.0138209415820203,0.820072639173631,1527.7037037037,567
12,0.964285714285714,0.2,0.5,0.217715112623973,0.0257697665625258,9592.33231707317,984
12,0.964285714285714,0.2,1,0.0169301329920222,0.00492885791305315,19135.003,1000
12,0.964285714285714,0.4,0.25,0.215756932493134,0.0171136745379164,8105.60721442886,998
12,0.964285714285714,0.4,0.5,0.0242788642639158,0.00512819569699094,18436.111,1000
12,0.964285714285714,0.4,1,0.000610117561515292,0.00475034745381176,19981.209,1000
13,0.25,0.1,0.25,-0.073016721465744,0.0503772560864465,1.18987341772152,79
13,0.25,0.1,0.5,-0.13480551086302,0.111517134923471,2.04046242774566,173
13,0.25,0.1,1,-0.0950916445174859,0.100996058132266,11.8476977567887,847
13,0.25,0.2,0.25,-0.192266082685344,0.0523049379693881,19.945,1000
13,0.25,0.2,0.5,-0.0427925736129058,0.012449613969819,63.473,1000
